t	y	u	r
432	1.9999999999200162	-1.2599687792674468e-14	2.0
436	1.9999999999200129	-2.7299323550794678e-14	2.0
440	1.9999999999200055	-5.599861241188652e-14	2.0
444	1.9999999999199907	-1.0919729420317871e-13	2.0
448	1.9999999999199622	-2.089448225618516e-13	2.0
452	1.9999999999199083	-3.9654017414167147e-13	2.0
456	1.999999999919806	-7.489814410089822e-13	2.0
460	1.9999999999196125	-1.4125649980898375e-12	2.0
464	1.9999999999192486	-2.6606340722197584e-12	2.0
468	1.9999999999185634	-5.008025906260526e-12	2.0
472	1.9999999999172737	-9.42351649493778e-12	2.0
476	1.9999999999148474	-1.7729160689603273e-11	2.0
480	1.9999999999102829	-3.335277355251961e-11	2.0
484	1.9999999999016964	-6.273909538963979e-11	2.0
488	1.9999999998855447	-1.180160256840681e-10	2.0
492	1.9999999998551625	-2.2199039930585572e-10	2.0
496	1.9999999997980136	-4.1756485317171425e-10	2.0
500	1.9999999996905162	-7.85439337619741e-10	2.0
504	1.999999999488314	-1.4774075413581987e-09	2.0
508	1.9999999991079724	-2.778993439396176e-09	2.0
512	1.9999999983925532	-5.227264323757666e-09	2.0
516	1.9999999970468556	-9.832438662266374e-09	2.0
520	1.9999999945156102	-1.8494729269599983e-08	2.0
524	1.9999999897543606	-3.478841592877572e-08	2.0
528	1.9999999807984938	-6.543668819606004e-08	2.0
532	1.9999999639525916	-1.230858005602526e-07	2.0
536	1.9999999322656068	-2.3152324154181392e-07	2.0
540	1.999999872662684	-4.3549305287933497e-07	2.0
544	1.9999997605501434	-8.191583560970874e-07	2.0
548	1.9999995496675043	-1.5408291975346828e-06	2.0
552	1.999999152999235	-2.8982852905666e-06	2.0
556	1.9999984068699355	-5.45164748532333e-06	2.0
560	1.9999970034077124	-1.0254497855222963e-05	2.0
564	1.9999943635084165	-1.928861441069139e-05	2.0
568	1.9999893978825698	-3.628170302360489e-05	2.0
572	1.9999800575868671	-6.824554352095938e-05	2.0
576	1.9999624885781453	-0.00012836922807459405	2.0
580	1.9999294414373163	-0.00024146131551194583	2.0
