t	y	u	r
760	1.6434959797744403e-08	-4.792173369855161e-08	0.0
764	8.726456400602593e-09	-2.5444580475918173e-08	0.0
768	4.6335604026853765e-09	-1.3509806566901974e-08	0.0
772	2.460474062620402e-09	-7.172511673767967e-09	0.0
776	1.3068288127322177e-09	-3.806982763090417e-09	0.0
780	6.946381588365402e-10	-2.0187899915127818e-09	0.0
784	3.7025492086970616e-10	-1.0670366285237419e-09	0.0
788	1.9927833160891348e-10	-5.573854605411073e-10	0.0
792	1.1086815615849253e-10	-2.7867419563453423e-10	0.0
796	6.839366265536843e-11	-1.1542520286394638e-10	0.0
