pwm.m1_pwm,pwm.m2_pwm,pwm.m3_pwm,pwm.m4_pwm
49614.0,49841.0,54281.0,50435.0
51321.0,50240.0,53082.0,50319.0
51002.0,48942.0,53713.0,52213.0
52290.0,50017.0,52503.0,51977.0
51152.0,48589.0,54150.0,53006.0
51894.0,48650.0,53634.0,53221.0
53324.0,48913.0,52594.0,53192.0
53669.0,50716.0,51945.0,52267.0
52565.0,49866.0,53574.0,52644.0
53949.0,49874.0,52237.0,52742.0
53462.0,50169.0,52571.0,52574.0
52299.0,51205.0,50663.0,54225.0
54928.0,50097.0,51146.0,52216.0
54288.0,49464.0,51729.0,52681.0
54978.0,48790.0,50907.0,53344.0
52437.0,50414.0,50803.0,54312.0
55158.0,50846.0,50241.0,51088.0
52981.0,50267.0,52740.0,51646.0
51813.0,50710.0,53907.0,51142.0
52252.0,52459.0,53578.0,49005.0
50437.0,52570.0,52915.0,51306.0
52138.0,52532.0,53752.0,47662.0
51464.0,53480.0,53287.0,47144.0
50667.0,51305.0,53619.0,48722.0
50853.0,50123.0,53368.0,49706.0
58751.0,60017.0,37588.0,35716.0
55103.0,52196.0,47758.0,46484.0
54741.0,51619.0,47830.0,47437.0
50066.0,52101.0,53082.0,46671.0
47059.0,52136.0,53163.0,49009.0
48187.0,51268.0,53906.0,47253.0
47462.0,50419.0,54544.0,48030.0
47346.0,49281.0,54610.0,49158.0
48932.0,50062.0,53502.0,48362.0
49374.0,51248.0,53231.0,46892.0
59521.0,58609.0,38263.0,33882.0
52808.0,53642.0,49583.0,44683.0
54051.0,52389.0,49822.0,46399.0
52371.0,51172.0,51189.0,47676.0
53124.0,51158.0,50929.0,48212.0
51903.0,49684.0,51968.0,50536.0
52388.0,48817.0,52470.0,50499.0
50150.0,50331.0,54660.0,49382.0
51597.0,50535.0,53864.0,49650.0
53018.0,50110.0,52307.0,51342.0
61047.0,58580.0,38007.0,37674.0
55301.0,54777.0,49814.0,44858.0
55355.0,52980.0,49890.0,47008.0
54222.0,53296.0,50137.0,47643.0
54846.0,51395.0,50295.0,48111.0
52587.0,49912.0,52587.0,49446.0
52391.0,49530.0,52411.0,49361.0
52145.0,48788.0,52206.0,49987.0
